element,name,pos,round,total_points,roll_clean_sheets_p90,roll_yellow_cards_p90,roll_bps_p90,roll_creativity_p90,roll_threat_p90,roll_defensive_contribution_p90,roll_expected_goals_p90,roll_expected_assists_p90,roll_expected_goals_conceded_p90,roll_goal_overperf_p90,roll_assist_overperf_p90,roll_goal_conceded_overperf_p90,roll_minutes,roll_value,roll_transfers_balance,roll_selected,was_home,opponent_team
136,Thiago,FWD,22,2,0.51,0.17,32.88,11.61,40.34,4.07,0.61,0.08,1.52,0.24,0.09,-0.85,88.5,70.5,88456.5,3985763.83,False,7
136,Thiago,FWD,23,2,0.51,0.17,33.05,12.97,44.58,3.9,0.64,0.09,1.54,0.21,0.08,-0.69,88.5,70.5,-60028.17,3924709.5,True,16
136,Thiago,FWD,24,2,0.34,0.17,34.07,12.95,46.61,4.92,0.71,0.09,1.45,0.14,0.08,-0.27,88.5,70.5,16419.5,3963425.0,False,2
136,Thiago,FWD,25,5,0.51,0.17,30.0,8.42,42.71,5.59,0.68,0.05,1.4,0.17,-0.05,-0.38,88.5,70.67,125159.17,4133922.67,False,15
136,Thiago,FWD,26,2,0.34,0.34,32.71,10.22,44.58,5.93,0.78,0.05,1.61,0.24,-0.05,-0.25,88.5,70.83,90755.0,4258810.67,True,1
136,Thiago,FWD,27,2,0.34,0.34,17.29,11.44,37.97,6.44,0.62,0.09,1.56,-0.11,-0.09,-0.38,88.5,71.0,83373.0,4342043.33,True,6
136,Thiago,FWD,28,6,0.17,0.17,6.17,9.57,21.5,5.83,0.41,0.13,1.45,-0.25,-0.13,0.05,90.0,71.0,5914.67,4353420.33,False,3
136,Thiago,FWD,29,2,0.17,0.33,11.17,10.08,27.0,6.0,0.48,0.12,1.35,-0.15,-0.12,0.32,90.0,71.0,-43116.5,4319791.83,False,4
136,Thiago,FWD,30,6,0.33,0.33,11.83,12.27,25.0,6.17,0.41,0.13,1.54,-0.08,-0.13,-0.2,90.0,71.0,-76939.0,4249227.33,True,20
136,Thiago,FWD,31,4,0.17,0.33,16.0,12.52,32.33,5.83,0.72,0.13,1.37,-0.22,-0.13,0.3,90.0,71.0,-13214.0,4248104.5,False,11
